solution_id,solution_number,solution_name,solution_note,status,is_published,is_published_in_public_kb,is_reviewed,is_html,times_used,case_id,owner_id,created_date,last_modified_date,system_modstamp
501Hp000000EFfEIAW,00000001,GC1020 Portable Generator Switch Malfunctioning,"If the generator switch is not working, remove the switch and re-assemble it. Often the switch gets displaced by a fraction of an inch preventing it from engaging with the internal generator mechanism.",Reviewed,1,0,1,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfFIAW,00000002,Generator assembly instructions unclear,The Maintenance Manuals for the GC1020 are currently in reveiw and will be shortly updated and distributed to all customers. We have received a fair number of complaints about the clarity of this manual and are working to resolve this problem at the earliest.,Draft,0,0,0,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfGIAW,00000003,Maintenance guidelines for generator unclear,The Maintenance Manuals for the GC1060 are currently in reveiw and will be shortly updated and distributed to all customers.  We have received a fair number of complaints about the clarity of this manual and are working to resolve this problem at the earliest.,Draft,0,0,0,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfHIAW,00000004,Selecting the Right Generator for Your Needs,"GenWatt offers a wide range of electric generators for every need -- from high-powered industrial-strength generators, to medium-capacity standby generators, to emergency-use portable generators.  We offer diesel, propane,and gasoline generators ranging in power from 10kW at the low end to 2000kW at the high end.",Reviewed,1,0,1,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfIIAW,00000005,GC3000 Series Propane Generator Ignition,The GC3000 series propane generators need to be started up using the following process if the ignition fails at the first try: 1) Disengage the fuel source. 2) Use the vacuum pump provided to suck out the air above the fuel source. 3) Reengage the fuel source. 4) Try the startup again.,Reviewed,1,0,1,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfJIAW,00000006,Starting generator after electrical failure,"After an electical failure, the generator has to be manually turned off before establishing the connection again.  If the generator is turned on while the switch is still in the ""On"" position, the generator will not start.  This has been built into the design for security and safety reasons.",Draft,0,0,0,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfKIAW,00000007,Electrical wiring installation for GC5060,"The red wiring from the top electronic panel of the GC5060 and the yellow wiring on the main generator assemly have to be connected together.  The two connectors may appear to be incompatible but they do fit into one another.  To successfully make the connection, first press the button on the yellow connector before engaging the two pieces.",Draft,0,0,0,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfLIAW,00000008,GenWatt SLA Commitments,GenWatt offers four different SLAs with different service commitments as follows:  1) PLATINUM        -  High priority cases: 2 hours        -  Medium and low priority cases: 6 hours  2) GOLD        -  High priority cases: 4 hours        -  Medium and low priority cases: 8 hours  3) SILVER        -  All cases: 12 hours  4) BRONZE        -  All cases: 24 hours,Reviewed,1,0,1,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfMIAW,00000009,Electronic panel fitting loose,"On the GC3020, the electronic panel is known to disengage from the main generator body especially when used at the higher-end of the capacity limits.  We recommend you secure the electronic panel with additional bolts in the lower right and upper left corners using the additional bolt mechanisms provided at these locations.",Draft,0,0,0,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
501Hp000000EFfNIAW,00000010,GenWatt Installation Services,"GenWatt Corporation has a full-service support organization offering customers every type of installation assistance -- from complete start-to-finsh, on-site delivery and installation to hourly installation consulting services.  Our engineers and consultants bring the highest level of technical expertise to the job and are well-known within the industry for their unparalleled service ethic.",Reviewed,1,0,1,0,0,000000000000000AAA,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,2023-10-28 20:45:25
