account_id,is_deleted,master_record_id,account_name,type,parent_id,billing_street,billing_city,billing_state,billing_postal_code,billing_country,billing_latitude,billing_longitude,billing_geocode_accuracy,shipping_street,shipping_city,shipping_state,shipping_postal_code,shipping_country,shipping_latitude,shipping_longitude,shipping_geocode_accuracy,phone,fax,account_number,website,sic,industry,annual_revenue,number_of_employees,ownership,ticker_symbol,description,rating,site,owner_id,created_date,created_by_id,last_modified_date,last_modified_by_id,system_modstamp,last_activity_date,jigsaw,jigsaw_company_id,clean_status,account_source,duns_number,trade_style,naics_code,naics_desc,year_started,sic_desc,dandb_company_id,operating_hours_id,customer_priority,sla,active__C,number_of_locations,upsell_opportunity,sla_serial_number,sla_expiration_date,rn
001Hp00002g1VGbIAM,0,,Edge Communications,Customer - Direct,000000000000000AAA,"312 Constitution Place Austin, TX 78767 USA",Austin,TX,,,,,,"312 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,CD451796,http://edgecomm.com,6576,Electronics,139000000,1000,Public,EDGE,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",Hot,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,Medium,Silver,Yes,2.0,Maybe,2657,2023-11-22 00:00:00,1
001Hp00002g1VGdIAM,0,,Pyramid Construction Inc.,Customer - Channel,000000000000000AAA,2 Place Jussieu,Paris,,75251,France,,,,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,CC213425,www.pyramid.com,4253,Construction,950000000,2680,Public,PYR,,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,Silver,Yes,17.0,Maybe,9840,2024-05-24 00:00:00,1
001Hp00002g1VGeIAM,0,,Dickenson plc,Customer - Channel,000000000000000AAA,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,(785) 241-6201,CC634267,dickenson-consulting.com,6752,Consulting,50000000,120,Private,,,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,Low,Bronze,Yes,2.0,No,7425,2024-05-24 00:00:00,1
001Hp00002g1VGfIAM,0,,Grand Hotels & Resorts Ltd,Customer - Direct,000000000000000AAA,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",Chicago,IL,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,CD439877,www.grandhotels.com,2268,Hospitality,500000000,5600,Public,GHTL,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",Warm,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,High,Gold,Yes,57.0,Yes,5572,2024-05-24 00:00:00,1
001Hp00002g1VGgIAM,0,,United Oil & Gas Corp.,Customer - Direct,000000000000000AAA,"1301 Avenue of the Americas  New York, NY 10019 USA",New York,NY,,,,,,"1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,CD355118,http://www.uos.com,4437,Energy,5600000000,145000,Public,UOS,World's third largest oil and gas company.,Hot,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,High,Platinum,Yes,955.0,Yes,6654,2024-05-24 00:00:00,1
001Hp00002g1VGhIAM,0,,Express Logistics and Transport,Customer - Channel,000000000000000AAA,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",Portland,OR,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,CC947211,www.expressl&t.net,8742,Transportation,950000000,12300,Public,EXLT,Commerical logistics and transportation company.,Cold,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,Medium,Platinum,Yes,150.0,Maybe,4724,2024-05-24 00:00:00,1
001Hp00002g1VGiIAM,0,,University of Arizona,Customer - Direct,000000000000000AAA,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",Tucson,AZ,,,,,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,(520) 773-9050,(520) 773-9060,CD736025,www.universityofarizona.com,7321,Education,,39000,Other,,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",Warm,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,Medium,Gold,Yes,3.0,Yes,8350,2023-11-22 00:00:00,1
001Hp00002g1VGjIAM,0,,"United Oil & Gas, UK",Customer - Direct,000000000000000AAA,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,UK,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,CD355119-A,http://www.uos.com,4437,Energy,,24000,Public,UOS,,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,High,Platinum,Yes,34.0,No,3479,2023-11-22 00:00:00,1
001Hp00002g1VGkIAM,0,,"United Oil & Gas, Singapore",Customer - Direct,000000000000000AAA,"9 Tagore Lane Singapore, Singapore 787472 Singapore",Singapore,Singapore,,,,,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,CD355120-B,http://www.uos.com,4437,Energy,,3000,Public,UOS,,,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,High,Platinum,Yes,6.0,Maybe,2457,2024-05-24 00:00:00,1
001Hp00002g1VGlIAM,0,,GenePoint,Customer - Channel,000000000000000AAA,"345 Shoreline Park Mountain View, CA 94043 USA",Mountain View,CA,,,,,,"345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,(650) 867-3450,(650) 867-9895,CC978213,www.genepoint.com,3712,Biotechnology,30000000,265,Private,,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,Cold,,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,Low,Bronze,Yes,1.0,Yes,7324,2024-05-24 00:00:00,1
